lags_to_use,fuzzy_sets,fuzzy_score,average_score
22,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.414,0.4348
23,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4196,0.4327
24,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4383,0.43
25,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4523,0.429
26,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4376,0.4292
27,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.429,0.4239
28,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4277,0.4184
29,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4253,0.4182
1,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.3971,0.4501
2,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.3759,0.4717
3,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.3958,0.4502
4,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.3886,0.4301
5,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4164,0.4266
6,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4091,0.4205
7,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4108,0.4141
8,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4412,0.4188
9,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4339,0.4225
10,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4185,0.4191
11,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.426,0.4228
12,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4154,0.4306
13,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.424,0.437
14,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4269,0.436
15,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4068,0.4381
16,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4095,0.4377
